,bid,ask
1459889036.89065,420.55,420.56
1459889037.89426,420.55,420.56
1459889038.898741,420.55,420.56
1459889039.900616,420.55,420.56
1459889040.901061,420.55,420.56
1459889041.901795,420.55,420.68
1459889042.903451,420.61,420.62
1459889043.905505,420.61,420.62
1459889044.906356,420.61,420.62
1459889045.911064,420.61,420.62
1459889046.911498,420.61,420.62
1459889047.91245,420.61,420.62
1459889048.916901,420.61,420.62
1459889049.917376,420.61,420.62
1459889050.918883,420.61,420.62
1459889051.920886,420.61,420.62
1459889052.925743,420.61,420.62
1459889053.928575,420.61,420.62
1459889054.929521,420.61,420.62
1459889055.934317,420.61,420.62
1459889056.938647,420.61,420.62
1459889057.941177,420.61,420.62
1459889058.945624,420.61,420.62
1459889059.950899,420.61,420.62
1459889060.953215,420.61,420.62
1459889061.957086,420.61,420.62
1459889062.958957,420.61,420.62
1459889063.961264,420.61,420.62
1459889064.961453,420.61,420.62
1459889065.961704,420.61,420.62
1459889066.962366,420.61,420.62
1459889067.967103,420.61,420.62
1459889068.968367,420.61,420.62
1459889069.968768,420.61,420.62
1459889070.970837,420.61,420.62
1459889071.971881,420.61,420.62
1459889072.972032,420.61,420.62
1459889073.972962,420.61,420.62
1459889074.974807,420.61,420.62
1459889075.975246,420.61,420.62
1459889076.979265,420.61,420.62
1459889077.983796,420.61,420.62
1459889078.98583,420.61,420.62
1459889079.98652,420.61,420.62
1459889080.986674,420.61,420.62
1459889081.988291,420.61,420.62
1459889082.993203,420.61,420.62
1459889083.997282,420.61,420.62
1459889084.998083,420.61,420.62
1459889085.998387,420.61,420.62
1459889086.998695,420.61,420.62
1459889087.998946,420.61,420.62
1459889089.000633,420.61,420.62
1459889090.005509,420.61,420.62
1459889091.005587,420.61,420.62
1459889092.005789,420.61,420.62
1459889093.007695,420.61,420.62
1459889094.007885,420.61,420.62
1459889095.013098,420.61,420.62
1459889096.014543,420.61,420.62
1459889097.018166,420.61,420.62
1459889098.020831,420.61,420.62
1459889099.021067,420.61,420.62
1459889100.021177,420.61,420.62
1459889101.021832,420.61,420.62
1459889102.02523,420.61,420.62
1459889103.026643,420.61,420.62
1459889104.026841,420.61,420.69
1459889105.028714,420.67,420.69
1459889106.029487,420.67,420.69
1459889107.029634,420.67,420.69
1459889108.029755,420.67,420.69
1459889109.030602,420.67,420.69
1459889110.032211,420.67,420.69
1459889111.037398,420.67,420.69
1459889112.041063,420.67,420.69
1459889113.04406,420.67,420.69
1459889114.044612,420.67,420.69
1459889115.045222,420.67,420.69
1459889116.045343,420.67,420.69
1459889117.046546,420.67,420.69
1459889118.047188,420.67,420.69
1459889119.047354,420.67,420.69
1459889120.051905,420.67,420.69
1459889121.05217,420.67,420.69
1459889122.053993,420.67,420.69
1459889123.054382,420.67,420.69
1459889124.054706,420.67,420.69
1459889125.05567,420.67,420.69
1459889126.060917,420.67,420.69
1459889127.06495,420.67,420.69
1459889128.065166,420.67,420.69
1459889129.068933,420.67,420.69
1459889130.069275,420.67,420.69
1459889131.070296,420.67,420.69
1459889132.070714,420.69,420.83
1459889133.070815,420.79,420.83
1459889134.07087,420.82,420.83
1459889135.071671,420.82,420.83
1459889136.071814,420.82,420.83
1459889137.071979,420.82,420.83
1459889138.07483,420.82,420.83
1459889139.075469,420.82,420.83
1459889140.077293,420.82,420.83
1459889141.078266,420.82,420.83
1459889142.079352,420.82,420.83
1459889143.082461,420.82,420.83
1459889144.084477,420.82,420.83
1459889145.08524,420.82,420.83
1459889146.087674,420.82,420.83
1459889147.087871,420.82,420.83
1459889148.088452,420.82,420.83
1459889149.088752,420.82,420.83
1459889150.091781,420.82,420.83
1459889151.096849,420.82,420.83
1459889152.097862,420.82,420.83
1459889153.099214,420.82,420.83
1459889154.102875,420.82,420.83
1459889155.103125,420.82,420.83
1459889156.105652,420.82,420.83
1459889157.105911,420.82,420.83
1459889158.109213,420.82,420.83
1459889159.111786,420.82,420.83
1459889160.113084,420.82,420.83
1459889161.113291,420.82,420.83
1459889162.113599,420.82,420.83
1459889163.116617,420.82,420.83
1459889164.119167,420.82,420.83
1459889165.122581,420.82,420.83
1459889166.125091,420.82,420.83
1459889167.130204,420.82,420.83
1459889168.130449,420.82,420.83
1459889169.133103,420.82,420.83
1459889170.134379,420.82,420.83
1459889171.135592,420.82,420.83
1459889172.135822,420.82,420.83
1459889173.137567,420.82,420.83
1459889174.140701,420.82,420.83
1459889175.141363,420.82,420.83
1459889176.141631,420.72,420.82
1459889177.14198,420.72,420.74
1459889178.146069,420.72,420.74
1459889179.149079,420.72,420.78
1459889180.149269,420.72,420.78
1459889181.150065,420.73,420.78
1459889182.15019,420.73,420.78
1459889183.151532,420.73,420.75
1459889184.151674,420.73,420.75
1459889185.151966,420.73,420.75
1459889186.155874,420.73,420.75
1459889187.158627,420.73,420.75
1459889188.158886,420.73,420.75
1459889189.159509,420.73,420.75
1459889190.159612,420.73,420.75
1459889191.159946,420.73,420.75
1459889192.160773,420.73,420.75
1459889193.163046,420.7,420.75
1459889194.163274,420.53,420.7
1459889195.163411,420.54,420.55
1459889196.166517,420.54,420.55
1459889197.168745,420.54,420.55
1459889198.169131,420.54,420.55
1459889199.171884,420.54,420.55
1459889200.173115,420.54,420.55
1459889201.174542,420.54,420.55
1459889202.175834,420.54,420.55
1459889203.178921,420.54,420.55
1459889204.181997,420.54,420.55
1459889205.184848,420.54,420.55
1459889206.18829,420.54,420.55
1459889207.188472,420.54,420.55
1459889208.189641,420.54,420.55
1459889209.190182,420.54,420.55
1459889210.193365,420.54,420.55
1459889211.198282,420.54,420.55
1459889212.198571,420.54,420.55
1459889213.199322,420.54,420.55
1459889214.201449,420.54,420.55
1459889215.203594,420.54,420.55
1459889216.204203,420.54,420.55
1459889217.205813,420.54,420.55
1459889218.208286,420.54,420.55
1459889219.208729,420.54,420.55
1459889220.209339,420.54,420.55
1459889221.212857,420.54,420.55
1459889222.213568,420.54,420.55
1459889223.214035,420.54,420.55
1459889224.216517,420.54,420.55
1459889225.21756,420.54,420.55
1459889226.217999,420.54,420.55
1459889227.218494,420.54,420.55
1459889228.218945,420.54,420.55
1459889229.223242,420.54,420.55
1459889230.228208,420.54,420.55
1459889231.229603,420.54,420.55
1459889232.229747,420.54,420.55
1459889233.231105,420.54,420.55
1459889234.232039,420.54,420.55
1459889235.234848,420.54,420.55
1459889236.237779,420.54,420.55
1459889237.242478,420.54,420.55
1459889238.243153,420.54,420.55
1459889239.244286,420.54,420.55
1459889240.245825,420.54,420.55
1459889241.247494,420.54,420.55
1459889242.248393,420.54,420.55
1459889243.253039,420.54,420.55
1459889244.25474,420.54,420.55
1459889245.25492,420.54,420.55
1459889246.259605,420.54,420.55
1459889247.261269,420.54,420.55
1459889248.265345,420.54,420.55
1459889249.270262,420.54,420.55
1459889250.271928,420.54,420.55
1459889251.272064,420.54,420.55
1459889252.273229,420.54,420.55
1459889253.273896,420.54,420.55
1459889254.276561,420.54,420.55
1459889255.276723,420.54,420.55
1459889256.279953,420.54,420.55
1459889257.281106,420.54,420.55
1459889258.281212,420.54,420.55
1459889259.282094,420.54,420.55
1459889260.282469,420.54,420.55
1459889261.284641,420.54,420.55
1459889262.286565,420.54,420.55
1459889263.289569,420.54,420.55
1459889264.293539,420.54,420.55
1459889265.29388,420.54,420.55
1459889266.294156,420.54,420.55
1459889267.297744,420.54,420.55
1459889268.299984,420.54,420.55
1459889269.302372,420.54,420.55
1459889270.307339,420.54,420.55
1459889271.308573,420.54,420.55
1459889272.308645,420.54,420.55
1459889273.309431,420.54,420.55
1459889274.309771,420.54,420.55
1459889275.312387,420.54,420.55
1459889276.312975,420.54,420.55
1459889277.314554,420.54,420.55
1459889278.318287,420.54,420.55
1459889279.318504,420.54,420.55
1459889280.318579,420.54,420.55
1459889281.318672,420.54,420.62
1459889282.31914,420.55,420.56
1459889283.323348,420.55,420.56
1459889284.323852,420.55,420.56
1459889285.326602,420.55,420.56
1459889286.32689,420.55,420.56
1459889287.329802,420.55,420.56
1459889288.330506,420.55,420.56
1459889289.331193,420.55,420.56
1459889290.331353,420.55,420.56
1459889291.331946,420.55,420.56
1459889292.333523,420.55,420.56
1459889293.334015,420.55,420.56
1459889294.335319,420.55,420.56
1459889295.336036,420.55,420.56
1459889296.336919,420.55,420.56
1459889297.339682,420.55,420.56
1459889298.344341,420.55,420.56
1459889299.349094,420.55,420.56
1459889300.350244,420.55,420.56
1459889301.351552,420.55,420.56
1459889302.351732,420.55,420.56
1459889303.354777,420.55,420.56
1459889304.354901,420.55,420.56
1459889305.356441,420.55,420.56
