,bid,ask
1459868856.765877,422.09,422.28
1459868856.870405,422.09,422.28
1459868856.972413,422.09,422.28
1459868857.074365,422.09,422.28
1459868857.174454,422.09,422.27
1459868857.275402,422.09,422.27
1459868857.375864,422.09,422.27
1459868857.477409,422.09,422.27
1459868857.578397,422.09,422.27
1459868857.678777,422.09,422.27
1459868857.778905,422.09,422.26
1459868857.879578,422.09,422.26
1459868857.979714,422.07,422.26
1459868858.081799,422.07,422.07
1459868858.182039,422.07,422.07
1459868858.282334,422.07,422.07
1459868858.383914,422.07,422.07
1459868858.484357,422.07,422.07
1459868858.584591,422.07,422.07
1459868858.684915,422.07,422.06
1459868858.784967,422.07,422.06
1459868858.886332,422.07,422.06
1459868858.986527,422.07,422.06
1459868859.086679,422.07,422.06
1459868859.188304,422.07,422.06
1459868859.290338,422.07,422.06
1459868859.391507,422.07,422.06
1459868859.493306,422.07,422.06
1459868859.594851,422.07,422.06
1459868859.695353,422.07,422.06
1459868859.795584,422.07,422.06
1459868859.899595,422.07,422.06
1459868860.001613,422.07,422.06
1459868860.102418,422.07,422.06
1459868860.204835,422.07,422.06
1459868860.305243,422.07,422.06
1459868860.406119,422.07,422.06
1459868860.506359,422.07,422.06
1459868860.611593,422.07,422.06
1459868860.712429,422.07,422.06
1459868860.814345,422.07,422.06
1459868860.918765,422.07,422.06
1459868861.019367,422.07,422.06
1459868861.120713,422.07,422.06
1459868861.220841,422.07,422.06
1459868861.323323,422.07,422.06
1459868861.423639,422.07,422.06
1459868861.526038,422.07,422.06
1459868861.626359,422.07,422.06
1459868861.730754,422.07,422.06
1459868861.830999,422.07,422.06
1459868861.931159,422.07,422.06
1459868862.031385,422.07,422.06
1459868862.13206,422.07,422.06
1459868862.235289,422.07,422.06
1459868862.336235,422.07,422.06
1459868862.437286,422.07,422.06
1459868862.538058,422.07,422.06
1459868862.638234,422.07,422.06
1459868862.738378,422.07,422.06
1459868862.841937,422.07,422.06
1459868862.942064,422.07,422.06
1459868863.042637,422.07,422.06
1459868863.142739,422.07,422.06
1459868863.242893,422.07,422.06
1459868863.343046,422.07,422.06
1459868863.443558,422.07,422.06
1459868863.544396,422.07,422.06
1459868863.645221,422.07,422.06
1459868863.745346,422.07,422.06
1459868863.84551,422.07,422.06
1459868863.945792,422.07,422.06
1459868864.045992,422.07,422.06
1459868864.146157,422.07,422.06
1459868864.246333,422.07,422.06
1459868864.346529,422.07,422.06
1459868864.447883,422.07,422.06
1459868864.549886,422.07,422.06
1459868864.650867,422.07,422.06
1459868864.754573,422.07,422.06
1459868864.856086,422.07,422.06
1459868864.956391,422.07,422.06
1459868865.05661,422.07,422.06
1459868865.159395,422.07,422.06
1459868865.259655,422.07,422.06
1459868865.360109,422.07,422.06
1459868865.462398,422.07,422.06
1459868865.563192,422.07,422.06
1459868865.663385,422.07,422.06
1459868865.763621,422.07,422.06
1459868865.864668,422.07,422.06
1459868865.964771,422.07,422.06
1459868866.065264,422.07,422.06
1459868866.165323,422.07,422.06
1459868866.265424,422.07,422.06
1459868866.365536,422.07,422.06
1459868866.466101,422.07,422.06
1459868866.567255,422.07,422.06
1459868866.667627,422.07,422.06
1459868866.772058,422.07,422.06
1459868866.872271,422.07,422.06
1459868866.972464,422.07,422.06
1459868867.075704,422.07,422.06
1459868867.175887,422.07,422.06
1459868867.276087,422.07,422.06
1459868867.376162,422.07,422.06
1459868867.476944,422.07,422.06
1459868867.57706,422.07,422.06
1459868867.678273,422.07,422.06
1459868867.778439,422.07,422.06
1459868867.878592,422.07,422.06
1459868867.979585,422.07,422.06
1459868868.07985,422.07,422.06
1459868868.180084,422.07,422.06
1459868868.280598,422.07,422.06
1459868868.380956,422.07,422.06
1459868868.48117,422.07,422.06
1459868868.581306,422.07,422.06
1459868868.681677,422.07,422.06
1459868868.781864,422.07,422.06
1459868868.884654,422.07,422.06
1459868868.988575,422.07,422.06
1459868869.089885,422.07,422.06
1459868869.190014,422.07,422.06
1459868869.290489,422.07,422.06
1459868869.390612,422.07,422.06
1459868869.490878,422.07,422.06
1459868869.591199,422.07,422.06
1459868869.691365,422.07,422.06
1459868869.791745,422.07,422.06
1459868869.891875,422.07,422.06
1459868869.991985,422.07,422.06
1459868870.092473,422.07,422.06
1459868870.192981,422.07,422.06
1459868870.293504,422.07,422.06
1459868870.394453,422.07,422.06
1459868870.494549,422.07,422.06
1459868870.594916,422.07,422.06
1459868870.695817,422.07,422.06
1459868870.795943,422.07,422.06
1459868870.896446,422.07,422.06
1459868870.996607,422.07,422.06
1459868871.10186,422.07,422.06
1459868871.205087,422.07,422.06
1459868871.30831,422.07,422.06
1459868871.408745,422.07,422.06
1459868871.509269,422.07,422.06
1459868871.60964,422.07,422.06
1459868871.709848,422.07,422.06
1459868871.811175,422.07,422.06
1459868871.914478,422.07,422.06
1459868872.015651,422.07,422.06
1459868872.115739,422.07,422.06
1459868872.220934,422.07,422.06
1459868872.324248,422.07,422.06
1459868872.426291,422.07,422.06
1459868872.526402,422.07,422.06
1459868872.63012,422.07,422.06
1459868872.735365,422.07,422.06
1459868872.840624,422.07,422.06
1459868872.94106,422.07,422.06
1459868873.046286,422.07,422.06
1459868873.150372,422.07,422.06
1459868873.255569,422.07,422.06
1459868873.356121,422.07,422.06
1459868873.457876,422.07,422.06
1459868873.558348,422.07,422.06
1459868873.658865,422.07,422.06
1459868873.759721,422.07,422.06
1459868873.859913,422.07,422.06
1459868873.961916,422.07,422.06
1459868874.065424,422.07,422.06
1459868874.168258,422.07,422.06
1459868874.268434,422.07,422.06
1459868874.370111,422.07,422.06
1459868874.472047,422.07,422.06
1459868874.574936,422.07,422.06
1459868874.675419,422.07,422.06
1459868874.775543,422.07,422.06
1459868874.875677,422.07,422.06
1459868874.975913,422.07,422.06
1459868875.076331,422.07,422.06
1459868875.176691,422.07,422.06
1459868875.277074,422.07,422.06
1459868875.378126,422.07,422.06
1459868875.478525,422.07,422.06
1459868875.578647,422.07,422.06
1459868875.678954,422.07,422.06
1459868875.779385,422.07,422.06
1459868875.879784,422.07,422.06
1459868875.979969,422.07,422.06
1459868876.080198,422.07,422.06
1459868876.180271,422.07,422.06
1459868876.280492,422.07,422.06
1459868876.381293,422.07,422.06
1459868876.481577,422.07,422.06
1459868876.582223,422.07,422.06
1459868876.682647,422.07,422.06
1459868876.784485,422.07,422.06
1459868876.886238,422.07,422.06
1459868876.986347,422.07,422.06
1459868877.086834,422.07,422.06
1459868877.187052,422.07,422.06
1459868877.291866,422.07,422.06
1459868877.392136,422.07,422.06
1459868877.492416,422.07,422.06
1459868877.594165,422.07,422.06
1459868877.694606,422.07,422.06
1459868877.795857,422.07,422.06
1459868877.897223,422.07,422.06
1459868877.998121,422.07,422.06
1459868878.098456,422.07,422.06
1459868878.198687,422.07,422.06
1459868878.298971,422.07,422.06
1459868878.400744,422.07,422.06
1459868878.501763,422.07,422.06
1459868878.604773,422.07,422.06
1459868878.705237,422.07,422.06
1459868878.808381,422.07,422.06
1459868878.911558,422.07,422.06
1459868879.012216,422.07,422.06
1459868879.11326,422.07,422.06
1459868879.215102,422.07,422.06
1459868879.320083,422.07,422.06
1459868879.420643,422.07,422.06
1459868879.520936,422.07,422.06
1459868879.621102,422.07,422.06
1459868879.721252,422.07,422.06
1459868879.824932,422.07,422.06
1459868879.92537,422.07,422.06
1459868880.025514,422.07,422.06
1459868880.125774,422.07,422.06
1459868880.225926,422.07,422.06
1459868880.326142,422.07,422.06
1459868880.426588,422.07,422.06
1459868880.52721,422.07,422.06
1459868880.627417,422.07,422.06
1459868880.73182,422.07,422.06
1459868880.836014,422.07,422.06
1459868880.93671,422.07,422.06
1459868881.036905,422.07,422.06
1459868881.137122,422.07,422.06
1459868881.237834,422.07,422.06
1459868881.338349,422.07,422.06
1459868881.43849,422.07,422.06
1459868881.539376,422.07,422.06
1459868881.639513,422.07,422.06
1459868881.743107,422.07,422.06
1459868881.843218,422.07,422.06
1459868881.94361,422.07,422.06
1459868882.043833,422.07,422.06
1459868882.144414,422.07,422.06
1459868882.244737,422.07,422.06
1459868882.345251,422.07,422.06
1459868882.445759,422.07,422.06
1459868882.547342,422.07,422.06
1459868882.64747,422.07,422.06
1459868882.749661,422.07,422.06
1459868882.852572,422.07,422.06
1459868882.952685,422.07,422.06
1459868883.05281,422.07,422.06
1459868883.152983,422.07,422.06
1459868883.25317,422.07,422.06
1459868883.353446,422.07,422.06
1459868883.453588,422.07,422.06
1459868883.553722,422.07,422.06
1459868883.654072,422.07,422.06
1459868883.754218,422.07,422.06
1459868883.854402,422.07,422.06
1459868883.954594,422.07,422.06
1459868884.055311,422.07,422.06
1459868884.156523,422.07,422.06
1459868884.256676,422.07,422.06
1459868884.357262,422.07,422.06
1459868884.458238,422.07,422.06
1459868884.561046,422.07,422.06
1459868884.661267,422.07,422.06
1459868884.762114,422.07,422.06
1459868884.862316,422.07,422.06
1459868884.964058,422.07,422.06
1459868885.064367,422.07,422.06
1459868885.164467,422.07,422.06
1459868885.268425,422.07,422.06
1459868885.368548,422.07,422.06
1459868885.468797,422.07,422.06
1459868885.569059,422.07,422.06
1459868885.669188,422.07,422.06
1459868885.769574,422.07,422.06
1459868885.870208,422.07,422.06
1459868885.970572,422.07,422.06
1459868886.070858,422.07,422.06
1459868886.171882,422.07,422.06
1459868886.272274,422.07,422.06
1459868886.372415,422.07,422.06
1459868886.473029,422.07,422.06
1459868886.573411,422.07,422.06
1459868886.678244,422.07,422.06
1459868886.778699,422.07,422.06
1459868886.878971,422.07,422.06
1459868886.979573,422.07,422.06
1459868887.080169,422.07,422.06
1459868887.180268,422.07,422.06
1459868887.280464,422.07,422.06
1459868887.380678,422.07,422.06
1459868887.480815,422.07,422.06
1459868887.581918,422.07,422.06
1459868887.684779,422.07,422.06
1459868887.785711,422.07,422.06
1459868887.886049,422.07,422.06
1459868887.986185,422.07,422.06
1459868888.08657,422.07,422.06
1459868888.18679,422.07,422.06
1459868888.288073,422.07,422.06
1459868888.388185,422.07,422.06
1459868888.489326,422.07,422.06
1459868888.58969,422.07,422.06
1459868888.694924,422.07,422.06
1459868888.796012,422.07,422.06
1459868888.896735,422.07,422.06
1459868888.996965,422.07,422.06
1459868889.097252,422.07,422.06
1459868889.197872,422.07,422.06
1459868889.298326,422.07,422.06
1459868889.398944,422.07,422.06
1459868889.499728,422.07,422.06
1459868889.602646,422.07,422.06
1459868889.702859,422.07,422.06
1459868889.802975,422.07,422.06
1459868889.903236,422.07,422.06
1459868890.004175,422.07,422.06
1459868890.104375,422.07,422.06
1459868890.204535,422.07,422.06
1459868890.305614,422.07,422.06
1459868890.406158,422.07,422.06
1459868890.510297,422.07,422.06
1459868890.610855,422.07,422.06
1459868890.711074,422.07,422.06
1459868890.815636,422.07,422.06
1459868890.915743,422.07,422.06
1459868891.019704,422.07,422.06
1459868891.119976,422.07,422.06
1459868891.220283,422.07,422.06
1459868891.320794,422.07,422.06
1459868891.421014,422.07,422.06
1459868891.521654,422.07,422.06
1459868891.622902,422.07,422.06
1459868891.723059,422.07,422.06
1459868891.8233,422.07,422.06
1459868891.923628,422.07,422.06
1459868892.024192,422.07,422.06
1459868892.124891,422.07,422.06
1459868892.226139,422.07,422.06
1459868892.33056,422.07,422.06
1459868892.43131,422.07,422.06
1459868892.531573,422.07,422.06
1459868892.63171,422.07,422.06
1459868892.731841,422.07,422.06
1459868892.833549,422.07,422.06
1459868892.933738,422.07,422.06
1459868893.034544,422.07,422.06
1459868893.134825,422.07,422.06
1459868893.236367,422.07,422.06
1459868893.337776,422.07,422.06
1459868893.437923,422.07,422.06
1459868893.538851,422.07,422.06
1459868893.639519,422.07,422.06
1459868893.739679,422.07,422.06
1459868893.840432,422.07,422.06
1459868893.940539,422.07,422.06
1459868894.040772,422.07,422.06
1459868894.142107,422.07,422.06
1459868894.242343,422.07,422.06
1459868894.342401,422.07,422.06
1459868894.442583,422.07,422.06
1459868894.544282,422.07,422.06
1459868894.64787,422.07,422.06
1459868894.748511,422.07,422.06
1459868894.84875,422.07,422.06
1459868894.949095,422.07,422.06
1459868895.049502,422.07,422.06
1459868895.149768,422.07,422.06
1459868895.250163,422.07,422.06
1459868895.350469,422.07,422.06
1459868895.453518,422.07,422.06
1459868895.555003,422.07,422.06
1459868895.655145,422.07,422.06
1459868895.755522,422.07,422.06
1459868895.855923,422.07,422.06
1459868895.956027,422.07,422.06
1459868896.056752,422.07,422.06
1459868896.157804,422.07,422.06
1459868896.258157,422.07,422.06
1459868896.358402,422.07,422.06
1459868896.458609,422.07,422.06
1459868896.558896,422.07,422.06
1459868896.659804,422.07,422.06
1459868896.760061,422.07,422.06
1459868896.860617,422.07,422.06
1459868896.960706,422.07,422.06
1459868897.064815,422.07,422.06
1459868897.165913,422.07,422.06
1459868897.266097,422.07,422.06
1459868897.366364,422.07,422.06
1459868897.466588,422.07,422.06
1459868897.566828,422.07,422.06
1459868897.667194,422.07,422.06
1459868897.767517,422.07,422.06
1459868897.867812,422.07,422.06
1459868897.968025,422.07,422.06
1459868898.068276,422.07,422.06
1459868898.168576,422.07,422.06
1459868898.268759,422.07,422.06
1459868898.369476,422.07,422.06
1459868898.469579,422.07,422.06
1459868898.569913,422.07,422.06
1459868898.673422,422.07,422.06
1459868898.77449,422.07,422.06
1459868898.874866,422.07,422.06
1459868898.975052,422.07,422.06
1459868899.075766,422.07,422.06
1459868899.176131,422.07,422.06
1459868899.277161,422.07,422.06
1459868899.380209,422.07,422.06
1459868899.482238,422.07,422.06
1459868899.582704,422.07,422.06
1459868899.686104,422.07,422.06
1459868899.786525,422.07,422.06
1459868899.889005,422.07,422.06
1459868899.989269,422.07,422.06
1459868900.089454,422.07,422.06
1459868900.189619,422.07,422.06
1459868900.289787,422.07,422.06
1459868900.390803,422.07,422.06
1459868900.490973,422.07,422.06
1459868900.591436,422.07,422.06
1459868900.691547,422.07,422.06
1459868900.791743,422.07,422.06
1459868900.892233,422.07,422.06
1459868900.993424,422.07,422.06
1459868901.093983,422.07,422.06
1459868901.199209,422.07,422.06
1459868901.299958,422.07,422.06
1459868901.40016,422.07,422.06
1459868901.501178,422.07,422.06
1459868901.605568,422.07,422.06
1459868901.70583,422.07,422.06
1459868901.806096,422.07,422.06
1459868901.906609,422.07,422.06
1459868902.007072,422.07,422.06
1459868902.109108,422.07,422.06
1459868902.213479,422.07,422.06
1459868902.315176,422.07,422.06
1459868902.416069,422.07,422.06
1459868902.517078,422.07,422.06
1459868902.621127,422.07,422.06
1459868902.721674,422.07,422.06
1459868902.824837,422.07,422.06
1459868902.926034,422.07,422.06
1459868903.028815,422.07,422.06
1459868903.13098,422.07,422.06
1459868903.233386,422.07,422.06
1459868903.334616,422.07,422.06
1459868903.435636,422.07,422.06
1459868903.537744,422.07,422.06
1459868903.6381,422.07,422.06
1459868903.738708,422.07,422.06
1459868903.84215,422.07,422.06
1459868903.942507,422.07,422.06
1459868904.044172,422.07,422.06
1459868904.144304,422.07,422.06
1459868904.246638,422.07,422.06
1459868904.350111,422.07,422.06
1459868904.450889,422.07,422.06
1459868904.55104,422.07,422.06
1459868904.651436,422.07,422.06
1459868904.751569,422.07,422.06
1459868904.85171,422.07,422.06
1459868904.955145,422.07,422.06
1459868905.055491,422.07,422.06
1459868905.155839,422.07,422.06
1459868905.256422,422.07,422.06
1459868905.356585,422.07,422.06
1459868905.45714,422.07,422.06
1459868905.557913,422.07,422.06
1459868905.659066,422.07,422.06
1459868905.763128,422.07,422.06
1459868905.867913,422.07,422.06
1459868905.968118,422.07,422.06
1459868906.068342,422.07,422.06
1459868906.169163,422.07,422.06
1459868906.269417,422.07,422.06
1459868906.37017,422.07,422.06
1459868906.470368,422.07,422.06
1459868906.575556,422.07,422.06
1459868906.675799,422.07,422.06
1459868906.778001,422.07,422.06
1459868906.878171,422.07,422.06
1459868906.981649,422.07,422.06
1459868907.084554,422.07,422.06
1459868907.185683,422.07,422.06
1459868907.286019,422.07,422.06
1459868907.38862,422.07,422.06
1459868907.488965,422.07,422.06
1459868907.590596,422.07,422.06
1459868907.690777,422.07,422.06
1459868907.791221,422.07,422.06
1459868907.893343,422.07,422.06
1459868907.993502,422.07,422.06
1459868908.093816,422.07,422.06
1459868908.19396,422.07,422.06
1459868908.294108,422.07,422.06
1459868908.394275,422.07,422.06
1459868908.494822,422.07,422.06
1459868908.595309,422.07,422.06
1459868908.695917,422.07,422.06
1459868908.796351,422.07,422.06
1459868908.896654,422.07,422.06
1459868908.99677,422.07,422.06
1459868909.099866,422.07,422.06
1459868909.201595,422.07,422.06
1459868909.302518,422.07,422.06
1459868909.402862,422.07,422.06
1459868909.503529,422.07,422.06
1459868909.603588,422.07,422.06
1459868909.703713,422.07,422.06
1459868909.804004,422.07,422.06
1459868909.904218,422.07,422.06
1459868910.004598,422.07,422.06
1459868910.105043,422.07,422.06
1459868910.205264,422.07,422.06
1459868910.30561,422.07,422.06
1459868910.405984,422.07,422.06
1459868910.507123,422.07,422.06
1459868910.607243,422.07,422.06
1459868910.707568,422.07,422.06
1459868910.80778,422.07,422.06
1459868910.907956,422.07,422.06
1459868911.008124,422.07,422.06
1459868911.109202,422.07,422.06
1459868911.209524,422.07,422.06
1459868911.309711,422.07,422.06
1459868911.409944,422.07,422.06
1459868911.510034,422.07,422.06
1459868911.610287,422.07,422.06
1459868911.710712,422.07,422.06
1459868911.811062,422.07,422.06
1459868911.915684,422.07,422.06
1459868912.016659,422.07,422.06
1459868912.117161,422.07,422.06
1459868912.217642,422.07,422.06
1459868912.318597,422.07,422.06
1459868912.418859,422.07,422.04
1459868912.523197,422.07,422.04
1459868912.623492,422.07,422.04
1459868912.724071,422.07,422.04
1459868912.824718,422.07,422.04
1459868912.926352,422.07,422.04
1459868913.027891,422.07,422.04
1459868913.12882,422.07,422.04
1459868913.231923,422.07,422.04
1459868913.336954,422.07,422.04
1459868913.437094,422.07,422.04
1459868913.537296,422.07,422.04
1459868913.637677,422.07,422.04
1459868913.737811,422.07,422.04
1459868913.838322,422.07,422.04
1459868913.940274,422.07,422.04
1459868914.043418,422.07,422.04
1459868914.14857,422.07,422.04
1459868914.250235,422.07,422.04
1459868914.354102,422.07,422.04
1459868914.454236,422.07,422.04
1459868914.554484,422.07,422.04
1459868914.654664,422.07,422.04
1459868914.754862,422.07,422.04
1459868914.855019,422.07,422.04
1459868914.958541,422.07,422.04
1459868915.058714,422.07,422.04
1459868915.159409,422.07,422.04
1459868915.263317,422.07,422.04
1459868915.363807,422.07,422.04
1459868915.465258,422.07,422.04
1459868915.565897,422.07,422.04
1459868915.668251,422.07,422.04
1459868915.769643,422.07,422.04
1459868915.870102,422.07,422.04
1459868915.971254,422.07,422.04
1459868916.072422,422.07,422.04
1459868916.172586,422.07,422.04
1459868916.273535,422.07,422.04
1459868916.373749,422.07,422.04
1459868916.474104,422.07,422.04
1459868916.574929,422.07,422.04
1459868916.675196,422.07,422.04
1459868916.775614,422.07,422.04
1459868916.876583,422.07,422.04
1459868916.976957,422.07,422.04
1459868917.077106,422.07,422.04
1459868917.177289,422.07,422.04
1459868917.277821,422.07,422.04
1459868917.378027,422.07,422.04
1459868917.478302,422.07,422.04
1459868917.579047,422.07,422.04
1459868917.679325,422.07,422.04
1459868917.779993,422.07,422.04
1459868917.88016,422.07,422.04
1459868917.980817,422.07,422.04
1459868918.081633,422.07,422.04
1459868918.182807,422.07,422.04
1459868918.283016,422.07,422.04
1459868918.383623,422.07,422.04
1459868918.484059,422.07,422.04
1459868918.58825,422.07,422.04
1459868918.688419,422.07,422.04
1459868918.79122,422.07,422.04
1459868918.893614,422.07,422.04
1459868918.99382,422.07,422.04
1459868919.094051,422.07,422.04
1459868919.196984,422.07,422.04
1459868919.302113,422.07,422.04
1459868919.404666,422.07,422.04
1459868919.505793,422.07,422.04
1459868919.606665,422.07,422.04
1459868919.711786,422.07,422.04
1459868919.816412,422.07,422.04
1459868919.921625,422.07,422.04
1459868920.024425,422.07,422.04
1459868920.128125,422.07,422.04
1459868920.230003,422.07,422.04
1459868920.334121,422.07,422.04
1459868920.438622,422.07,422.04
1459868920.539298,422.07,422.04
1459868920.640248,422.07,422.04
1459868920.740985,422.07,422.04
1459868920.845473,422.07,422.04
1459868920.9506,422.07,422.04
1459868921.054139,422.07,422.04
1459868921.156071,422.07,422.04
1459868921.256379,422.07,422.04
1459868921.358115,422.07,422.04
1459868921.463242,422.07,422.04
1459868921.56826,422.07,422.04
1459868921.673187,422.07,422.04
1459868921.77762,422.07,422.04
1459868921.882691,422.07,422.04
1459868921.984699,422.07,422.04
1459868922.089489,422.07,422.04
1459868922.19347,422.07,422.04
1459868922.293599,422.07,422.04
1459868922.398758,422.07,422.04
1459868922.502056,422.07,422.04
1459868922.606775,422.07,422.04
1459868922.706929,422.07,422.04
1459868922.807322,422.07,422.04
1459868922.90757,422.07,422.04
1459868923.011407,422.07,422.04
1459868923.115612,422.07,422.04
1459868923.215796,422.07,422.04
1459868923.316827,422.07,422.04
1459868923.42033,422.07,422.04
1459868923.524932,422.07,422.04
1459868923.625045,422.07,422.04
1459868923.725535,422.07,422.04
1459868923.825814,422.07,422.04
1459868923.926111,422.07,422.04
1459868924.030104,422.07,422.04
1459868924.135276,422.07,422.04
1459868924.238103,422.07,422.04
1459868924.340674,422.07,422.04
1459868924.44583,422.07,422.04
1459868924.546449,422.07,422.04
1459868924.646725,422.07,422.04
1459868924.751841,422.07,422.04
1459868924.857008,422.07,422.04
1459868924.95747,422.07,422.04
1459868925.060265,422.07,422.04
1459868925.163569,422.07,422.04
1459868925.268725,422.07,422.04
1459868925.372536,422.07,422.04
1459868925.47432,422.07,422.04
1459868925.574489,422.07,422.04
1459868925.67501,422.07,422.04
1459868925.775143,422.07,422.04
1459868925.875382,422.07,422.04
1459868925.975541,422.07,422.04
1459868926.075895,422.07,422.04
1459868926.176478,422.07,422.04
1459868926.276868,422.07,422.04
1459868926.377113,422.07,422.04
1459868926.477305,422.07,422.04
1459868926.577463,422.07,422.04
1459868926.67771,422.07,422.04
1459868926.77779,422.07,422.04
1459868926.881906,422.07,422.04
1459868926.982163,422.07,422.04
1459868927.082257,422.07,422.04
1459868927.182631,422.07,422.04
1459868927.28281,422.07,422.04
1459868927.383426,422.07,422.04
1459868927.488638,422.07,422.04
1459868927.588772,422.07,422.04
1459868927.691104,422.07,422.04
1459868927.792066,422.07,422.04
1459868927.892966,422.07,422.04
1459868927.993257,422.07,422.04
1459868928.093425,422.07,422.04
1459868928.193768,422.07,422.04
1459868928.296578,422.07,422.04
1459868928.397523,422.07,422.04
1459868928.502063,422.07,422.04
1459868928.606497,422.07,422.04
1459868928.711506,422.07,422.04
1459868928.813932,422.07,422.04
1459868928.915049,422.07,422.04
1459868929.015388,422.07,422.04
1459868929.117322,422.07,422.04
1459868929.218049,422.07,422.04
1459868929.321201,422.07,422.04
1459868929.424712,422.07,422.04
1459868929.525936,422.07,422.04
1459868929.626955,422.07,422.04
1459868929.728912,422.07,422.04
1459868929.833687,422.07,422.04
1459868929.934014,422.07,422.04
1459868930.035041,422.07,422.04
1459868930.136046,422.07,422.04
1459868930.236629,422.07,422.04
1459868930.337045,422.07,422.04
1459868930.43713,422.07,422.04
1459868930.54225,422.07,422.04
1459868930.642607,422.07,422.04
1459868930.742856,422.07,422.04
1459868930.844699,422.07,422.04
1459868930.948317,422.07,422.04
1459868931.048932,422.07,422.04
1459868931.151822,422.07,422.04
1459868931.253025,422.07,422.04
1459868931.353903,422.07,422.04
1459868931.455045,422.07,422.04
1459868931.555959,422.07,422.04
1459868931.658007,422.07,422.04
1459868931.763111,422.07,422.04
1459868931.863422,422.07,422.04
1459868931.965762,422.07,422.04
1459868932.067029,422.07,422.04
1459868932.169741,422.07,422.04
1459868932.270024,422.07,422.04
1459868932.37371,422.07,422.04
1459868932.476206,422.07,422.04
1459868932.580778,422.07,422.04
1459868932.682186,422.07,422.04
1459868932.782678,422.07,422.04
1459868932.883088,422.07,422.04
1459868932.98456,422.07,422.04
1459868933.085891,422.07,422.04
1459868933.186153,422.07,422.04
1459868933.286678,422.07,422.04
1459868933.387119,422.07,422.04
1459868933.488455,422.07,422.04
1459868933.588799,422.07,422.04
1459868933.690279,422.07,422.04
1459868933.792997,422.07,422.04
1459868933.893712,422.07,422.04
1459868933.994283,422.07,422.04
1459868934.094412,422.07,422.04
1459868934.196162,422.07,422.04
1459868934.296935,422.07,422.04
1459868934.397079,422.07,422.04
1459868934.497363,422.07,422.04
1459868934.597871,422.07,422.04
1459868934.698212,422.07,422.04
1459868934.798356,422.07,422.04
1459868934.898658,422.07,422.04
1459868934.999019,422.07,422.04
1459868935.101623,422.07,422.04
1459868935.20175,422.07,422.04
1459868935.306307,422.07,422.04
1459868935.410707,422.07,422.04
1459868935.511113,422.07,422.04
1459868935.616359,422.07,422.04
1459868935.721581,422.07,422.04
1459868935.826814,422.07,422.04
1459868935.927543,422.07,422.04
1459868936.029611,422.07,422.04
1459868936.129849,422.07,422.04
1459868936.230105,422.07,422.04
1459868936.330318,422.07,422.04
1459868936.431234,422.07,422.04
1459868936.531629,422.07,422.04
1459868936.632445,422.07,422.04
1459868936.733011,422.07,422.04
1459868936.833672,422.07,422.04
1459868936.933895,422.07,422.04
1459868937.034193,422.07,422.04
1459868937.137966,422.07,422.04
1459868937.238383,422.07,422.04
1459868937.342005,422.07,422.04
1459868937.444477,422.07,422.04
1459868937.54483,422.07,422.04
1459868937.645383,422.07,422.04
1459868937.745931,422.07,422.04
1459868937.846435,422.07,422.04
1459868937.946678,422.07,422.04
1459868938.046798,422.07,422.04
1459868938.14705,422.07,422.04
1459868938.248605,422.07,422.04
1459868938.350141,422.07,422.04
1459868938.450318,422.07,422.04
1459868938.552749,422.07,422.04
1459868938.653221,422.07,422.04
1459868938.755056,422.07,422.04
1459868938.855473,422.07,422.04
1459868938.956675,422.07,422.04
1459868939.057249,422.07,422.04
1459868939.158441,422.07,422.04
1459868939.259509,422.07,422.04
1459868939.361186,422.07,422.04
1459868939.462701,422.07,422.04
1459868939.565835,422.07,422.04
1459868939.667855,422.07,422.04
1459868939.768549,422.07,422.04
1459868939.868821,422.07,422.04
1459868939.971934,422.07,422.04
1459868940.07207,422.07,422.04
1459868940.174287,422.07,422.04
1459868940.277908,422.07,422.04
1459868940.378514,422.07,422.04
1459868940.479036,422.07,422.04
1459868940.580504,422.07,422.04
1459868940.680683,422.07,422.04
1459868940.780864,422.07,422.04
1459868940.881251,422.07,422.04
1459868940.981643,422.07,422.04
1459868941.081782,422.07,422.08
1459868941.181862,422.07,422.17
1459868941.281964,422.07,422.17
